@id,@lon,@lat,name,stars,city,street
332044751,20.8800993,42.0151415,Славија,3,Lisec,R1209
332044798,20.8804512,42.0136748,Попова Шапка,2,Lisec,R1209
364069071,20.7356405,41.6497078,Бистра,1,Mavrovo,R2235
365840363,21.4087904,41.9766582,Хотел Водно,2,Skopje,R2138
373128988,22.0082491,41.4440951,Feni,2,Kavadarci,Severen
386800518,22.1008382,41.4950992,Park,3,Negotino,A112
410335524,21.4358015,41.9761668,Hotel Imperial,3,Skopje,Благоја Гојан
410335525,21.4362154,41.9762321,Sun Hotel,3,Skopje,Благоја Гојан
416417189,21.454931,41.9899385,hotel porta,1,Skopje,Булевар Јане Сандански
416452220,21.4198508,41.9899482,Хотел 7,1,Skopje,Boulevard Majka Tereza
416452221,21.4244806,42.0037446,Канет,3,Skopje,Наум Наумовски Борче
426994642,22.0103655,41.4397684,UniPalas,0,Kavadarci,Bulevar Nikola Minchev
445504108,20.7061975,41.1716121,Hotel EUROTEL,3,Misleshevo,R1208
461663944,22.6418073,41.4396276,Hotel Tiveriopol,3,Strumica,Братство и Единство
461664195,22.6431437,41.436015,Хотел Илинден,3,Strumica,Гоце Делчев
462151633,22.6517229,41.4128709,Хотел Сириус,1,Kuklish,R1402
473903013,22.3350529,42.2032723,Turist,2,Kriva Palanka,Sveti Joakim Osogovski
477199658,22.1759186,42.0011146,Кај Зоки,1,Probishtip,Ленинова
487181669,21.830927,41.6849594,Македонија,3,Dolno Kalaslari,A108
496160455,20.6785228,41.1781482,Хотел Београд,3,Struga,8. Ноември
497549478,22.8587642,41.700628,Хотел Манастир,3,Berovo,Mosha Pijade
498771166,22.7381829,41.913516,Одмаралиште Голак,2,Delchevo,R2343
499130715,20.7352972,41.6486816,Стопанска Банка,0,Mavrovo,R2235
499130722,20.7390308,41.6499002,Макпетрол,0,Mavrovo,R2235
526226418,20.80234,41.0788322,Hotel BELVEDERE,3,Shipokno,Saint Naum of Ohrid Boulevard
774791899,21.0134146,41.0896892,Китка,3,Resen,11 Oktomvri
959317641,20.6481197,41.5924377,Хотел НЕДА - Галичник,1,Galichnik,Janče - Galičnik
1378197244,21.440152,41.980192,Hotel Orange Inn,2,Skopje,Тодор Паница
1381642413,21.4249793,41.9801123,Хотел Турена,1,Skopje,Todor Aleksandrov
1381642430,21.4262323,41.9843835,Александар,2,Skopje,Востаничка
1452855153,20.6246531,41.5898039,Хотел Туто,2,Adzhievci,R1202
1499057720,21.4329531,41.9948912,Hotel City Central International,1,Skopje,11 Октомври
1577485214,21.3755273,42.0055458,Мрамор,2,Skopje,Klenoec
1791598057,22.7420313,41.1725653,Казино Хит,3,Sretenovo,R1105
1804963726,20.7410763,40.9140062,Хотелски комплекс „Свети Наум“,0,Lubanishta,R1301
1812296549,21.0846302,40.9299992,Hotel MVR,3,Krani,L50928
1831180525,21.2991809,41.9503368,Кањон Матка,0,Shishevo,Мечкина Дупка
1874196865,22.3530578,42.0367674,Осоговски Бисер,2,Jastrebnik,R1309
1999950873,22.2438643,41.4092678,Lovec,3,Demir Kapija,11ti Oktomvri
2123629166,20.9106476,41.7961877,hotel,3,Gostivar,blv. Goce Delchev
2250324509,21.6997303,42.0775831,Хотел Милано,1,Romanovce,Friendship
2284578750,20.7372366,41.6493265,Кампари,3,Mavrovo,R2235
2293315268,21.4068121,41.9941717,Hotel Kapistec,3,Skopje,Mile Pop Jordanov
2316032879,20.8030131,41.0769862,Хотел на МВР,0,Shipokno,Saint Naum of Ohrid Boulevard
2316032888,20.8034074,41.0764625,Хотел Пела,2,Shipokno,R1301
2323236971,22.5042089,41.1414679,Ашикот,3,Gevgelija,Гевгелиски Партизански одред
